Processed_Review,lexicon_score,lexicon_sentiment
radiant skin moisturizing gentle gentle refreshing radiant hydration clean radiant fresh fresh,4,positive
gentle moisturizing care hydration moisturizing glowing soft skin hydration radiant gentle clean hydration,5,positive
hydration product radiant radiant soft hydration care fresh natural smooth natural glowing,1,positive
natural radiant soft care gentle product hydration fresh,2,positive
skin clean gentle radiant gentle glowing care smooth gentle,3,positive
natural fresh refreshing soft smooth refreshing skin glowing care glowing clean smooth glowing beautiful,3,positive
natural gentle fresh product beautiful care beautiful skin smooth moisturizing soft skin,3,positive
refreshing soft hydration natural skin glowing moisturizing fresh product soft gentle,5,positive
beautiful hydration soft natural soft smooth skin smooth glowing beautiful natural product beautiful gentle,3,positive
soft moisturizing clean gentle moisturizing skin hydration care fresh gentle glowing clean hydration,5,positive
fresh clean beautiful natural soft moisturizing care natural hydration care care soft soft,4,positive
moisturizing hydration skin beautiful skin fresh fresh beautiful glowing clean smooth,1,positive
product radiant fresh moisturizing moisturizing gentle care fresh soft smooth beautiful natural hydration,4,positive
smooth skin gentle moisturizing gentle hydration skin product natural hydration refreshing clean clean,4,positive
clean beautiful glowing skin smooth beautiful radiant smooth clean,0,neutral
glowing clean smooth refreshing moisturizing refreshing refreshing soft natural care moisturizing,6,positive
soft fresh glowing clean care care care natural care care moisturizing hydration smooth soft,3,positive
care fresh skin product beautiful natural care soft,1,positive
care refreshing clean product skin natural glowing beautiful hydration skin gentle beautiful,2,positive
beautiful product smooth smooth beautiful skin moisturizing beautiful beautiful skin care clean gentle,2,positive
gentle skin moisturizing moisturizing gentle moisturizing soft beautiful,6,positive
skin soft gentle gentle radiant refreshing radiant care moisturizing fresh,5,positive
hydration beautiful moisturizing soft smooth radiant gentle hydration hydration skin glowing product beautiful skin hydration,3,positive
glowing refreshing fresh clean beautiful soft clean care glowing refreshing smooth beautiful fresh,3,positive
natural clean care fresh natural care beautiful glowing soft smooth hydration natural skin natural,1,positive
beautiful hydration radiant soft fresh gentle beautiful skin clean,2,positive
natural care refreshing product soft beautiful clean natural smooth soft soft glowing product,4,positive
soft clean soft hydration refreshing care radiant gentle natural clean smooth soft,5,positive
clean glowing gentle gentle product refreshing clean beautiful product care natural refreshing,4,positive
refreshing moisturizing hydration product hydration moisturizing product care hydration moisturizing,4,positive
hydration care gentle radiant fresh gentle hydration radiant natural beautiful hydration beautiful product,2,positive
soft care product refreshing product soft skin care care,3,positive
skin care clean clean soft smooth skin product hydration moisturizing clean beautiful refreshing,3,positive
soft natural care fresh care care soft clean clean refreshing natural,3,positive
product gentle care refreshing refreshing beautiful gentle product smooth,4,positive
moisturizing fresh moisturizing soft moisturizing natural beautiful natural soft,5,positive
product hydration moisturizing hydration moisturizing radiant clean refreshing beautiful care,3,positive
natural skin gentle beautiful glowing care gentle soft refreshing,4,positive
care radiant fresh skin skin beautiful glowing glowing product beautiful,0,neutral
radiant natural hydration product skin product radiant care smooth moisturizing skin hydration skin refreshing gentle,3,positive
product skin beautiful hydration glowing hydration smooth care skin care skin care gentle,1,positive
beautiful natural beautiful hydration smooth product beautiful hydration radiant skin skin,0,neutral
clean fresh radiant beautiful soft natural skin fresh,1,positive
skin care glowing gentle soft clean product product natural fresh glowing refreshing radiant gentle soft,5,positive
clean hydration care soft natural soft soft glowing smooth soft smooth fresh radiant fresh,4,positive
skin clean beautiful smooth glowing product skin skin radiant skin product refreshing skin product clean,1,positive
clean moisturizing fresh smooth refreshing beautiful care moisturizing clean skin moisturizing clean,4,positive
gentle beautiful product soft clean smooth gentle beautiful smooth clean product refreshing,4,positive
care glowing product smooth smooth natural natural moisturizing hydration skin natural,1,positive
clean smooth soft beautiful smooth gentle natural radiant radiant care fresh,2,positive
moisturizing fresh smooth moisturizing product skin radiant gentle,3,positive
refreshing skin glowing moisturizing smooth fresh fresh soft glowing moisturizing,4,positive
fresh smooth clean clean care natural beautiful product skin,0,neutral
beautiful hydration radiant smooth product product glowing hydration moisturizing radiant radiant fresh beautiful,1,positive
smooth product radiant radiant beautiful care gentle soft product natural product hydration moisturizing clean natural,3,positive
moisturizing soft skin product radiant beautiful clean moisturizing,3,positive
gentle beautiful moisturizing product product product smooth care moisturizing gentle care radiant refreshing care,5,positive
fresh care soft fresh fresh smooth glowing gentle moisturizing clean fresh,3,positive
gentle care product beautiful moisturizing fresh radiant skin care beautiful product glowing,2,positive
moisturizing hydration moisturizing skin radiant hydration beautiful glowing glowing soft hydration product moisturizing refreshing,5,positive
soft moisturizing gentle skin refreshing hydration refreshing clean refreshing glowing natural skin moisturizing,7,positive
skin beautiful beautiful care product soft hydration refreshing product soft gentle,4,positive
refreshing refreshing smooth moisturizing clean soft moisturizing glowing refreshing gentle natural refreshing beautiful natural,8,positive
natural natural beautiful beautiful smooth glowing natural care beautiful hydration glowing,0,neutral
skin refreshing beautiful smooth fresh moisturizing clean glowing refreshing skin moisturizing radiant,4,positive
care fresh care product care fresh hydration clean radiant,0,neutral
glowing clean hydration beautiful radiant smooth radiant radiant soft refreshing moisturizing,3,positive
